mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.567735862731934,0.07228121152930943,0.1852102756500244,0.0020645375954858416,,1,exponential,150,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 150}",-1.5275542162427276,-3.5758528076814784,-3.308164193335519,-1.4858145321002643,-3.327540247912255,-2.6449851994544487,0.9342944840297963,19
9.171227216720581,0.16254846656717184,0.3009462833404541,0.020684791463817066,,1,exponential,200,"{'base_estimator': None, 'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 200}",-1.8011174041481186,-4.026552592319503,-3.9903912738130902,-1.4968044736293362,-3.7474370899711866,-3.0124605667762467,1.121560274262868,20
1.3103171825408935,0.34894365484425005,0.058024120330810544,0.006793550658282245,,3,linear,50,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'linear', 'n_estimators': 50}",-0.48494157972656327,-1.6159524947007298,-0.1357927896843587,-0.08196906534575676,-0.5542748660345744,-0.5745861590983965,0.5528297687826751,6
2.5120475769042967,0.8171925490175045,0.12078204154968261,0.011319317896742264,,3,linear,100,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'linear', 'n_estimators': 100}",-0.6355666514385381,-1.3247156163240663,-0.13741398360673784,-0.3914600082553532,-0.34831998973652634,-0.5674952498722444,0.41036873555860703,5
3.8889344692230225,1.2906251940651128,0.1998476505279541,0.010919409888550181,,3,linear,150,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'linear', 'n_estimators': 150}",-0.583181449070328,-1.1736667235476905,-0.20708176512073018,-0.4928537782191178,-1.1953318580074854,-0.7304231147930704,0.3910525546012679,8
5.286985397338867,1.7859977385768804,0.2523815155029297,0.026796352600860423,,3,linear,200,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'linear', 'n_estimators': 200}",-0.43376801015269084,-0.906795979759079,-0.2250376714260547,-0.8048505887596216,-1.2353303428995202,-0.7211565185993932,0.35624920879150995,7
1.2763965129852295,0.08697304130607338,0.06482563018798829,0.004672448194771945,,3,square,50,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'square', 'n_estimators': 50}",-3.883877206870822,-0.22087428108743112,-3.6639338004765296,-29.321737985512257,-2.245796972995947,-7.867244049388598,10.80646081168224,22
2.2724448680877685,0.12223162894920425,0.13607616424560548,0.005428092941394143,,3,square,100,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'square', 'n_estimators': 100}",-3.7688625840256753,-45.15603214576292,-2.637632839841906,-4.7309036409599745,-0.4215350852377828,-11.342993259165652,16.967441362945703,24
3.3367988586425783,0.20386652317892637,0.18961052894592284,0.014233517437663056,,3,square,150,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'square', 'n_estimators': 150}",-3.819102925822709,-15.46754632285635,-6.426588801573867,-5.759809024511292,-2.237942418838477,-6.742197898720539,4.604979995039485,21
4.051188039779663,0.1780605516884211,0.20902609825134277,0.008379402056251402,,3,square,200,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'square', 'n_estimators': 200}",-2.9811655278156253,-17.273924151003932,-23.142649838135206,-4.651173139880562,-1.9109407888422618,-9.991970689135517,8.590061234034406,23
2.371220111846924,0.13001000612253483,0.06398911476135254,0.0062312391784233295,,3,exponential,50,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'exponential', 'n_estimators': 50}",-1.2282554876924894,-1.9996770165083202,-0.8939863552333533,-0.9165937444450427,-1.5900940497495384,-1.3257213307257487,0.42128120357788756,12
3.621470308303833,0.34383394124992345,0.09572014808654786,0.007949487370836021,,3,exponential,100,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'exponential', 'n_estimators': 100}",-1.1531393426434589,-2.1951510091926405,-0.9525601754751334,-1.0146500414083444,-1.608757509260105,-1.3848516155959363,0.4656897311838063,15
4.478443145751953,0.25865421005648837,0.10051021575927735,0.011657759391700488,,3,exponential,150,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'exponential', 'n_estimators': 150}",-1.2746787570820057,-1.8340173102494464,-0.9836401462725572,-1.1605526269612896,-2.032896684889874,-1.4571571050910346,0.40471979250004736,16
4.944878244400025,0.43535188296078825,0.10906391143798828,0.0009659201864106973,,3,exponential,200,"{'base_estimator': None, 'learning_rate': 3, 'loss': 'exponential', 'n_estimators': 200}",-1.2880277540446197,-2.1983663722812317,-1.0382809654539633,-1.084409622689111,-2.2805779885668276,-1.5779325406071505,0.5472626870839553,17
